name,age,height_cm,weight_kg,overall,value_eur,preferred_foot,team_position,shooting,passing,defending,attacking_crossing,attacking_finishing,attacking_heading_accuracy,skill_dribbling,skill_curve,skill_fk_accuracy,skill_ball_control,movement_sprint_speed,movement_reactions,power_jumping,power_stamina,power_strength
S. Hajrović,27,186,79,62,325000,Right,LCB,21,45,61,49,16,67,40,28,33,57,56,59,81,59,71
P. O'Connor,22,191,77,62,425000,Right,LCB,21,38,61,22,17,59,40,27,22,46,55,55,71,63,74
D. Župarić,28,185,80,67,775000,Right,LCB,21,44,67,24,20,68,52,34,12,56,54,63,76,64,79
C. Finch,18,182,77,52,110000,Right,RES,21,26,51,20,15,51,23,27,26,28,63,44,69,62,66
Kim Tae Han,24,183,77,58,160000,Right,RES,21,25,60,22,16,57,21,28,23,32,54,59,70,66,69
E. Capradossi,24,185,78,68,1300000,Left,RES,21,33,71,16,17,67,21,29,16,52,63,55,70,68,67
Fu Yuncheng,21,187,79,48,35000,Right,SUB,21,28,49,21,16,45,24,25,20,29,55,39,65,60,62
I. Mitran,18,178,74,53,110000,Right,SUB,21,29,54,25,15,55,24,21,15,38,52,48,53,40,53
C. Strohdiek,32,192,87,68,575000,Right,SUB,21,38,68,28,18,71,33,28,22,46,44,66,52,35,90
Leandro Pestanha,24,185,76,67,725000,Right,SUB,21,46,70,53,18,65,41,25,26,47,61,50,69,68,76
A. Halme,22,196,78,65,800000,Right,SUB,21,45,63,25,16,66,54,23,24,62,48,62,56,59,78
N. Hernández,22,180,73,67,1400000,Left,SUB,21,50,66,47,17,66,37,21,27,65,70,58,71,77,81
J. Stanisic,20,186,77,60,425000,Right,LB,22,42,61,44,17,62,35,22,23,54,61,56,54,59,62
O. Gastrell,34,186,88,58,45000,Left,LCB,22,32,58,27,15,58,41,21,21,48,44,55,57,46,69
A. Anderson,19,187,75,53,90000,Right,LCB,22,33,54,24,20,49,29,25,21,40,57,46,69,61,61
N. Baxevanos,20,187,85,59,275000,Left,LCB,22,28,61,14,10,63,15,22,23,36,71,60,30,34,66
A. Considine,33,183,75,68,425000,Left,LCB,22,55,67,62,15,70,60,34,52,60,55,56,85,76,82
P. Kalambayi,20,183,80,62,500000,Right,LCB,22,41,62,26,16,62,38,19,19,48,70,54,70,71,83
J. Malagón,27,189,77,68,975000,Right,LCB,22,39,68,28,17,74,46,30,26,52,51,67,82,78,84
J. Bednarek,24,189,77,77,11000000,Right,LCB,22,53,79,44,19,76,50,23,26,59,68,79,80,69,77
J. Hill,18,182,65,51,80000,Right,RCB,22,28,52,27,16,52,20,21,26,32,53,46,66,61,67
M. Pineda,22,185,79,61,350000,Right,RCB,22,40,63,25,15,54,40,20,21,60,55,52,70,60,66
M. Connolly,28,185,77,63,350000,Right,RCB,22,49,62,34,19,61,32,24,19,52,49,54,85,72,77
D. Pines,22,196,88,62,375000,Right,RCB,22,37,60,21,19,66,37,26,22,46,75,53,68,66,81
A. Stewart,27,183,76,67,800000,Right,RCB,22,46,66,42,20,66,46,27,24,51,56,63,73,69,78
Zhou Xiao,21,188,75,47,45000,Left,RCM,22,39,45,40,18,40,40,33,20,38,63,47,66,60,55
C. Muñoz,20,184,75,50,45000,Right,RES,22,27,51,28,17,50,23,20,21,34,63,46,67,55,57
Y. Mosquera,19,187,76,49,50000,Right,RES,22,27,49,25,17,48,28,25,29,28,60,49,73,59,59
Qian Yumiao,22,174,64,51,50000,Right,RES,22,37,51,35,15,50,40,32,25,50,75,45,62,54,60
N. Jones,18,190,75,50,60000,Left,RES,22,29,49,23,17,48,26,27,21,33,58,44,71,64,72
Kim Min Gyu,20,188,82,52,70000,Right,RES,22,27,53,29,16,55,20,24,21,26,63,46,67,57,73
T. Gray,17,180,74,51,80000,Right,RES,22,29,52,24,15,43,24,22,25,52,57,40,70,64,56
L. Loor,20,184,77,53,80000,Right,RES,22,40,53,29,16,49,28,28,23,56,54,45,68,64,61
M. Adebowale,22,196,85,55,110000,Right,RES,22,34,54,25,20,60,31,23,24,42,53,48,71,55,75
T. Yamakawa,22,185,79,57,130000,Right,RES,22,37,54,30,18,61,25,26,23,45,62,43,61,60,80
K. Haneda,22,185,80,57,130000,Right,RES,22,38,55,32,17,53,32,22,23,52,58,47,52,49,82
N. Slonina,19,191,91,54,140000,Right,RES,22,35,50,25,16,53,35,26,28,43,58,47,67,62,80
Y. Langesberg,26,191,87,60,230000,Right,RES,22,34,60,22,18,62,34,20,27,46,55,58,65,61,83
M. Thiel,18,187,75,59,300000,Left,RES,22,39,58,32,17,58,49,35,19,53,62,53,62,62,71
O. Syrota,20,189,74,65,1100000,Left,RES,22,37,65,24,16,74,26,23,22,55,65,54,70,81,72
Wang Huapeng,20,181,77,47,35000,Right,SUB,22,25,47,22,18,46,23,27,21,28,57,41,68,60,58
H. Delgado,18,180,70,48,60000,Right,SUB,22,32,49,21,18,43,30,29,21,30,54,45,70,55,53
O. Stefánsson,17,192,75,51,60000,Left,SUB,22,35,47,28,16,54,26,28,26,34,57,47,64,58,72
B. Blythe,18,185,72,51,70000,Left,SUB,22,33,50,23,17,41,32,27,20,32,57,48,68,56,67
L. Hotopp,20,185,84,51,70000,Right,SUB,22,28,51,29,19,52,28,28,21,32,64,54,73,55,71
J. Courtney-Perkins,17,189,78,52,90000,Right,SUB,22,32,55,37,16,43,29,23,26,34,67,49,71,62,53
C. Vestergaard,19,192,76,52,100000,Right,SUB,22,32,52,29,16,48,32,23,23,38,55,46,70,56,61
M. Jensen,23,195,85,55,120000,Right,SUB,22,29,53,29,18,54,21,28,27,42,55,46,68,57,82
C. Montoya,18,180,75,54,130000,Right,SUB,22,36,54,26,17,48,20,26,23,59,63,47,69,59,62
N. Lang,18,185,77,56,170000,Right,SUB,22,34,56,26,17,51,36,23,19,43,69,50,83,48,63
A. Odimayo,20,183,75,56,190000,Left,SUB,22,39,57,30,16,55,41,30,15,40,68,50,65,61,60
M. Watson,24,186,82,59,190000,Right,SUB,22,38,58,25,18,53,24,31,21,39,53,58,74,57,71
M. Pollock,18,190,80,59,300000,Right,SUB,22,39,57,35,18,57,29,24,22,42,63,52,72,68,80
C. Dikamona,30,187,86,64,375000,Right,SUB,22,43,59,22,15,62,52,24,21,50,63,55,62,60,86
A. Hindi,23,184,65,61,400000,Left,SUB,22,40,60,39,18,63,44,23,27,49,67,58,70,67,71
J. Heris,29,188,80,66,550000,Right,SUB,22,48,67,27,20,67,25,26,27,45,53,55,53,67,78
David Alba,21,180,77,64,800000,Right,SUB,22,40,66,25,16,67,26,26,29,57,46,55,72,34,68
K. Schlotterbeck,23,189,87,70,2100000,Left,SUB,22,51,73,24,17,69,43,29,32,54,77,69,60,64,75
Unai Núñez,23,186,81,78,13000000,Right,SUB,22,47,78,29,16,78,35,27,22,72,73,74,78,68,79
Yuan Mincheng,24,182,70,60,275000,Right,CB,23,36,63,30,16,51,26,21,27,29,66,51,78,72,79
K. Gach,21,178,78,59,200000,Left,LB,23,45,55,56,21,39,54,38,25,47,67,55,62,59,57
J. Granados,33,181,73,67,350000,Left,LB,23,51,65,68,25,26,40,31,28,66,67,66,72,68,75
T. Penninkangas,27,193,86,56,90000,Left,LCB,23,40,54,42,14,56,36,22,23,42,53,48,65,64,81
R. Patriche,34,183,75,62,110000,Right,LCB,23,45,62,27,20,64,28,23,25,37,35,43,83,62,82
I. Stoica,32,186,83,60,130000,Left,LCB,23,32,59,23,18,67,29,23,21,34,48,51,80,74,78
M. Nottingham,31,193,88,61,190000,Right,LCB,23,42,61,49,20,61,53,27,23,55,54,58,63,64,72
K. Kościelny,28,185,83,63,350000,Right,LCB,23,33,63,27,20,66,26,31,22,38,50,57,82,57,82
M. McKenzie,21,180,84,65,775000,Right,LCB,23,46,66,25,18,61,35,26,24,48,73,62,69,61,70
V. Huerta,26,185,77,69,1200000,Left,LCB,23,40,71,29,16,73,24,23,27,40,46,63,80,70,87
A. Burcă,27,187,82,70,1900000,Right,LCB,23,44,70,26,17,70,43,20,20,60,63,67,75,69,82
L. Gordon,21,180,75,55,160000,Left,LWB,23,43,49,48,21,40,48,35,32,45,80,42,62,68,64
Liao Chengjian,26,181,77,54,80000,Right,RB,23,28,57,29,18,42,26,22,27,25,54,42,69,55,58
V. González,26,180,78,54,80000,Right,RB,23,33,53,22,19,52,26,27,29,59,58,48,70,62,70
N. Al Sharari,24,184,75,54,90000,Right,RCB,23,28,54,27,21,52,28,21,28,34,50,48,69,59,68
Han Xuan,29,193,85,60,200000,Right,RCB,23,34,61,26,16,70,33,30,30,44,50,43,69,69,83
A. Eastham,29,191,90,62,250000,Left,RCB,23,42,60,35,18,61,38,31,24,45,37,59,80,72,81
M. Tenho,25,190,82,61,300000,Right,RCB,23,42,60,25,18,59,42,28,20,52,56,56,73,60,74
O. Yılmaz,27,185,82,63,375000,Right,RCB,23,45,64,34,17,62,35,21,29,50,57,60,72,62,70
L. Racic,21,188,74,62,450000,Right,RCB,23,39,63,28,17,60,43,23,19,50,57,58,71,54,69
F. Pereyra,31,185,76,66,475000,Right,RCB,23,33,69,23,16,69,36,22,26,34,39,64,70,67,80
B. Koglin,23,186,79,64,550000,Left,RCB,23,47,63,51,20,62,45,30,21,60,69,58,80,61,73
S. Nachreiner,31,187,77,68,675000,Right,RCB,23,37,70,46,17,62,25,22,25,44,55,67,77,54,77
K. Yoshino,25,182,75,66,775000,Right,RCB,23,40,66,28,20,57,38,29,23,62,66,63,77,62,74
T. Inukai,27,182,77,67,800000,Right,RCB,23,35,68,27,16,65,29,23,28,45,56,66,79,72,77
D. Batth,29,191,90,70,1500000,Right,RCB,23,42,70,24,20,75,31,25,16,44,32,65,75,72,91
M. Burda,25,187,83,74,7000000,Right,RCB,23,43,77,28,17,77,31,22,27,48,66,74,68,64,80
A. González,28,178,79,60,200000,Right,RDM,23,36,60,28,18,60,24,25,29,55,65,51,62,62,64
C. Barks,17,188,75,50,50000,Right,RES,23,29,50,24,19,48,23,27,26,34,67,46,67,55,58
J. Madelin,18,186,74,49,60000,Right,RES,23,33,48,28,15,45,30,28,25,32,53,40,68,60,67
S. Ogie,18,183,73,51,70000,Left,RES,23,34,50,33,19,52,39,20,22,34,63,43,70,55,62
Kim Yeon Soo,26,186,75,53,70000,Right,RES,23,27,54,24,21,51,19,20,20,23,55,48,73,54,64
Guo Jing,23,188,78,53,80000,Right,RES,23,30,52,20,18,49,27,27,21,35,61,49,62,55,71
S. Piccinini,17,185,77,52,100000,Right,RES,23,41,53,33,16,50,39,37,32,44,47,44,61,34,57
K. Yao,19,187,79,52,100000,Right,RES,23,37,52,29,16,55,23,27,25,30,64,42,69,37,71
A. Senior,18,185,70,53,110000,Right,RES,23,36,54,23,20,46,35,31,22,38,65,55,67,54,60
M. Jonsson,17,186,78,53,110000,Right,RES,23,27,54,20,22,55,36,28,24,40,61,44,67,62,62
T. Curran,19,183,73,55,110000,Left,RES,23,31,54,20,20,52,30,28,23,41,55,50,68,54,70
S. Shotton,19,184,75,53,120000,Right,RES,23,35,53,20,15,50,20,22,23,42,53,54,75,52,67
A. Villalva,21,180,76,56,120000,Right,RES,23,35,58,27,20,60,26,27,28,29,59,50,72,56,61
S. Uzcátegui,18,177,66,54,130000,Right,RES,23,36,54,23,19,48,21,25,23,59,60,45,70,60,63
T. Hama,22,182,73,57,140000,Right,RES,23,35,56,27,16,46,25,18,24,57,58,55,61,68,72
S. Kimura,18,186,80,55,150000,Right,RES,23,38,51,31,18,55,39,15,25,52,67,39,67,51,83
K. Hoshi,23,184,80,58,160000,Right,RES,23,33,55,20,16,52,27,28,23,52,50,48,72,51,82
L. Borgström,19,181,75,56,180000,Right,RES,23,40,48,44,22,44,48,27,31,45,73,53,73,82,50
Ivi López,21,180,75,59,250000,Right,RES,23,31,60,26,21,58,27,22,39,43,64,55,74,62,65
I. Cissé,19,196,86,60,425000,Right,RES,23,44,59,41,16,61,35,28,28,48,68,48,61,51,81
A. Yasar,25,180,70,63,425000,Left,RES,23,49,62,53,15,58,55,30,36,58,69,60,68,57,57
J. Mejías,22,185,78,62,450000,Right,RES,23,37,64,26,20,70,25,25,28,48,67,60,65,53,57
C. Carter-Vickers,22,183,92,68,1500000,Right,RES,23,53,68,40,17,67,44,27,30,57,64,65,72,55,79
Zhang Mengxuan,21,177,70,47,35000,Right,SUB,23,26,50,23,16,45,19,21,22,24,56,48,65,55,45
H. Danielsson,20,180,69,50,50000,Right,SUB,23,30,51,27,20,45,27,24,24,34,63,46,76,59,54
T. Dickens,18,180,78,50,60000,Right,SUB,23,29,49,28,17,45,24,27,21,32,59,43,74,51,66
Jiang Weipeng,27,183,78,53,60000,Right,SUB,23,31,51,26,17,47,24,24,28,41,60,47,70,59,74
I. Bakare,18,180,70,51,70000,Right,SUB,23,29,50,27,15,50,25,25,20,40,65,45,72,54,68
R. Rivas,17,178,78,51,70000,Left,SUB,23,32,44,46,20,36,51,27,29,51,60,53,55,55,65
T. French,21,186,78,52,70000,Right,SUB,23,29,51,25,16,49,45,23,20,33,80,46,70,55,68
D. Bowry,22,180,67,53,80000,Right,SUB,23,37,51,45,20,47,39,29,22,37,65,49,71,53,69
D. Longe-King,25,193,86,55,90000,Right,SUB,23,39,52,33,22,51,29,28,25,43,62,42,68,63,82
J. Anderson,20,186,75,52,100000,Right,SUB,23,28,51,20,19,47,29,20,22,35,63,51,68,62,73
M. Sibyani,19,177,84,52,100000,Left,SUB,23,39,52,32,18,50,35,23,28,39,59,47,66,66,78
L. Fernandez,18,193,74,53,110000,Right,SUB,23,34,50,21,17,54,35,21,22,43,59,43,66,55,75
N. Ishikawa,34,180,74,62,110000,Left,SUB,23,48,65,64,20,48,45,29,30,57,35,62,44,53,72
S. Mroczko,19,184,78,54,140000,Right,SUB,23,36,52,42,20,47,49,37,32,43,69,49,56,52,55
K. Miller,23,183,83,59,230000,Left,SUB,23,34,59,23,20,54,34,25,28,40,69,55,70,63,72
K. Oiwa,30,183,78,62,250000,Right,SUB,23,46,62,68,21,40,45,28,32,56,62,66,75,77,79
J. Stanić,21,188,80,59,275000,Right,SUB,23,36,61,28,19,55,36,20,27,43,53,54,62,52,67
Han Hee Hoon,29,183,78,63,300000,Right,SUB,23,35,64,22,18,61,33,28,26,30,55,56,70,71,77
D. Drescher,30,190,85,63,300000,Left,SUB,23,39,63,27,20,67,35,34,27,41,32,58,32,32,84
B. Gazzolo,22,182,77,61,325000,Right,SUB,23,42,61,25,21,65,27,24,20,59,63,60,73,60,61
J. Schmied,21,188,84,61,325000,Right,SUB,23,40,61,26,17,66,33,25,30,40,63,53,67,62,73
R. Rentería,24,181,81,61,350000,Right,SUB,23,32,61,26,19,57,29,28,23,37,55,58,76,62,77
J. Aspropotamitis,24,188,76,62,375000,Right,SUB,23,43,61,27,21,62,32,27,21,49,49,54,74,71,81
D. Jarl,28,198,94,63,375000,Left,SUB,23,45,62,35,21,67,41,25,14,48,69,58,32,39,91
M. Gollner,29,185,80,64,375000,Left,SUB,23,43,65,46,18,57,50,13,21,48,50,55,70,70,75
Kim Nam Chun,31,184,78,65,400000,Right,SUB,23,50,63,24,16,65,25,30,22,36,34,57,79,66,82
R. Kikuchi,23,188,80,63,450000,Right,SUB,23,41,62,30,21,63,28,16,24,51,50,54,51,69,84
D. Ciobotariu,22,187,79,63,500000,Right,SUB,23,46,64,47,21,61,40,48,26,52,68,63,81,71,77
P. Herrmann,32,180,80,68,550000,Right,SUB,23,52,66,63,19,47,51,59,28,54,76,62,79,75,70
J. Pearce,32,185,71,68,575000,Left,SUB,23,43,69,42,13,70,40,31,27,46,50,66,80,74,82
L. Ospina,29,190,81,66,600000,Right,SUB,23,35,67,27,16,69,28,28,22,42,41,61,67,57,85
J. Tanganga,21,184,73,71,3900000,Right,SUB,23,53,71,60,15,66,62,25,29,64,78,72,88,66,75
R. Veselinović,21,188,77,59,210000,Right,CB,24,37,60,32,21,60,21,21,28,36,62,44,71,65,67
Jeong Tae Wook,23,194,92,65,725000,Right,CB,24,34,64,23,22,76,36,28,22,41,67,56,75,34,91
P. Ziereis,27,189,82,67,825000,Right,CB,24,52,67,57,18,68,54,36,28,56,76,68,75,52,75
W. Scott,20,176,74,56,130000,Right,LB,24,45,52,50,21,48,51,27,30,45,72,45,68,56,77
Liu Yi,31,180,72,60,150000,Left,LB,24,49,61,43,20,55,34,25,27,48,63,61,68,61,66
D. Julio,27,179,77,54,70000,Left,LCB,24,33,57,55,22,36,51,26,31,31,63,50,63,62,59
T. Uskok,29,196,86,55,80000,Right,LCB,24,37,56,25,22,59,28,25,25,32,58,49,65,61,64
M. Rundić,28,188,83,59,140000,Left,LCB,24,39,59,24,17,52,32,23,26,34,52,52,76,62,68
J. Marrufo,24,182,80,58,150000,Left,LCB,24,48,57,62,21,50,47,49,28,55,64,50,58,72,69
K. Rowles,22,183,80,58,160000,Left,LCB,24,41,56,26,16,49,27,24,22,38,64,59,77,70,70
H. Al Shuwaysh,31,185,77,61,190000,Left,LCB,24,45,58,48,18,60,47,30,28,53,34,55,79,73,82
Y. Hiraoka,34,183,72,67,275000,Right,LCB,24,39,69,21,17,58,28,27,21,54,38,66,72,66,71
L. Jürgensen,22,192,82,61,325000,Left,LCB,24,42,60,20,18,65,47,29,21,53,64,56,70,60,78
A. Odabas,26,187,78,62,350000,Left,LCB,24,42,60,21,20,56,25,30,35,53,70,55,84,52,75
K. Ono,30,180,75,64,375000,Left,LCB,24,39,64,22,18,62,36,25,20,49,51,62,75,68,73
O. Bačo,24,191,83,63,450000,Left,LCB,24,43,63,28,13,71,34,25,22,48,53,52,72,64,80
J. Vargas,25,192,88,63,475000,Right,LCB,24,40,62,25,21,61,32,27,29,60,49,56,68,64,87
D. Cervantes,30,184,78,66,525000,Left,LCB,24,41,71,37,18,68,47,20,16,56,68,62,65,60,63
P. Bochniewicz,24,194,85,67,950000,Left,LCB,24,52,67,29,19,63,45,31,25,55,50,59,63,62,83
Jeong Seung Hyun,26,188,74,69,1200000,Right,LCB,24,46,69,32,19,75,32,52,47,40,35,64,82,67,87
Z. Touré,30,183,79,70,1400000,Right,LCB,24,48,69,30,14,64,52,25,42,62,73,65,79,80,84
A. Shabanov,28,189,83,72,3100000,Right,LCB,24,48,74,21,23,74,23,20,29,49,64,74,65,68,74
R. Cundy,23,188,82,56,140000,Right,RCB,24,34,57,23,18,56,20,26,20,32,57,49,74,57,70
A. Komor,26,190,82,58,150000,Right,RCB,24,46,57,35,23,56,46,39,30,44,55,56,63,69,78
T. Imai,29,178,78,61,210000,Right,RCB,24,43,60,55,20,56,48,28,26,52,62,58,77,54,75
A. Velagic,28,189,86,61,220000,Right,RCB,24,35,61,30,20,65,38,24,22,45,52,54,64,61,72
E. Zenteno,35,180,78,67,230000,Right,RCB,24,30,73,25,23,69,36,36,26,35,52,66,81,64,77
L. Morante,23,194,88,60,275000,Right,RCB,24,45,58,32,12,66,24,35,23,46,54,50,67,56,78
J. Koutroumbis,22,183,73,62,375000,Right,RCB,24,47,62,46,22,55,58,34,32,59,69,58,67,57,66
Oh Ban Suk,32,189,81,67,500000,Right,RCB,24,37,70,26,21,70,45,29,28,54,33,55,74,60,82
M. Khubrani,26,181,68,65,600000,Right,RCB,24,37,65,23,24,64,34,21,21,52,51,62,79,64,74
J. Elsey,26,188,82,65,600000,Right,RCB,24,42,64,29,22,63,41,28,24,54,53,61,69,75,82
S. Nakatani,24,184,79,66,775000,Right,RCB,24,39,66,22,18,67,31,22,23,56,77,64,79,72,80
D. Arboleda,25,190,83,66,800000,Right,RCB,24,40,68,27,16,75,32,21,26,41,32,66,42,55,91
Chen Kejiang,23,176,70,48,35000,Right,RES,24,25,50,22,23,45,22,27,28,28,58,46,72,61,46
C. Pizarro,20,176,70,48,45000,Right,RES,24,28,50,26,19,45,28,26,22,26,64,42,71,56,47
D. Idehen,17,187,77,50,50000,Left,RES,24,29,50,25,22,50,27,31,25,31,70,44,64,50,70
G. Duré,21,188,82,51,50000,Right,RES,24,29,52,24,16,49,22,22,24,51,65,45,74,62,51
J. Gutiérrez,17,172,65,49,60000,Right,RES,24,35,42,45,20,39,59,30,27,34,60,54,57,59,40
M. Williamsen,16,186,71,49,60000,Right,RES,24,28,49,25,22,45,24,27,22,32,45,46,67,32,59
K. Hayde,18,182,72,49,60000,Right,RES,24,33,49,28,20,50,16,19,19,31,56,41,63,61,66
Zhang Yu,17,189,75,49,60000,Right,RES,24,27,49,21,19,48,24,20,21,33,57,49,74,57,50
N. Henchoz,18,182,72,50,60000,Right,RES,24,30,52,31,18,47,32,29,29,35,62,44,68,58,53
D. Csóka,20,188,78,50,60000,Left,RES,24,37,49,40,20,47,38,22,27,41,55,46,55,55,70
T. Johnson,19,180,70,51,70000,Right,RES,24,35,48,40,22,40,45,28,33,40,68,50,63,61,50
F. Małek,18,189,78,51,70000,Right,RES,24,30,51,25,20,51,28,23,29,37,57,49,67,60,60
D. Björkman,27,184,77,54,70000,Left,RES,24,36,56,36,20,45,29,29,28,34,61,52,69,62,66
L. Wyke,23,185,82,54,80000,Right,RES,24,30,53,23,18,52,29,21,24,41,58,45,69,57,65
J. Dyer,20,183,71,52,90000,Right,RES,24,33,52,24,20,46,39,22,25,41,66,49,71,67,65
L. Maus,18,194,79,52,100000,Right,RES,24,41,50,37,22,52,31,24,25,51,62,39,62,57,65
N. Jeck,18,193,81,52,100000,Right,RES,24,31,52,23,21,48,42,24,24,30,63,45,65,59,69
P. Oșan,20,178,75,53,100000,Left,RES,24,34,53,31,21,54,25,31,22,33,60,44,74,60,60
F. Souza,22,183,67,54,100000,Right,RES,24,37,53,28,17,49,39,20,21,59,59,48,70,60,56
N. Sansotre,26,180,75,57,110000,Right,RES,24,46,55,51,20,44,45,35,27,51,58,47,63,61,55
M. Medel,19,168,56,53,120000,Right,RES,24,39,49,50,20,41,48,27,25,46,64,46,56,58,35
M. Dinger,19,193,83,54,140000,Right,RES,24,36,55,22,18,52,24,29,25,33,62,47,63,44,61
H. Raghfawi,24,177,63,58,150000,Left,RES,24,47,52,62,22,49,38,30,29,44,81,47,46,54,58
O. Nowak,19,176,69,57,160000,Right,RES,24,39,55,56,22,52,48,26,35,45,55,58,65,67,56
H. Carter,20,188,67,56,190000,Right,RES,24,34,55,25,19,46,33,20,25,39,63,48,74,59,79
T. Fleckstein,21,188,76,58,190000,Right,RES,24,42,60,38,20,60,49,33,19,55,51,45,49,34,62
A. Ba,30,188,78,61,200000,Left,RES,24,37,61,24,21,65,30,23,29,45,50,45,74,60,69
L. Mack,20,186,76,57,210000,Right,RES,24,54,58,42,19,58,31,31,23,43,62,48,72,64,60
J. Jiménez,25,173,73,60,240000,Left,RES,24,46,60,49,20,60,49,46,20,52,60,53,66,62,72
M. Okazaki,21,181,74,62,400000,Right,RES,24,47,62,52,19,58,50,29,22,53,73,57,76,54,73
G. Zajkov,25,186,78,63,425000,Right,RES,24,45,65,28,19,65,38,19,21,48,45,60,33,42,75
J. O'Brien,19,187,80,49,45000,Right,SUB,24,29,47,25,21,44,25,26,26,39,62,41,66,61,65
K. Farren,19,188,79,49,50000,Right,SUB,24,29,49,25,23,48,26,24,29,30,59,49,66,43,64
N. De Queiroz,17,181,73,50,60000,Right,SUB,24,31,50,22,22,42,32,28,25,29,56,47,61,52,68
H. Holgate,20,186,72,51,80000,Right,SUB,24,35,50,30,17,47,32,28,26,38,55,44,67,64,71
N. Bertilsson,18,185,77,52,80000,Left,SUB,24,29,52,30,20,56,26,23,25,32,57,44,69,53,68
Lim Seung Gyeom,25,184,74,54,80000,Right,SUB,24,32,56,26,20,53,22,25,26,34,54,45,70,54,65
S. Nishikawa,19,174,70,52,90000,Left,SUB,24,35,49,48,22,35,53,35,31,35,59,54,59,56,43
G. Buliga,22,178,71,53,90000,Right,SUB,24,35,54,21,17,48,34,26,25,37,52,46,75,65,58
J. Armer,19,185,71,53,90000,Left,SUB,24,37,53,41,20,45,31,27,24,39,58,47,60,62,63
A. Abrahamsson,20,187,75,53,90000,Right,SUB,24,35,49,24,22,52,50,23,24,52,47,48,72,53,74
A. Al Salem,27,177,64,57,100000,Left,SUB,24,48,53,51,19,44,51,30,26,50,69,52,59,62,58
G. Horton,18,185,78,53,110000,Right,SUB,24,40,52,22,24,56,42,21,22,46,71,48,62,54,58
G. Johansson,19,183,73,54,110000,Right,SUB,24,34,52,24,18,47,35,23,24,41,58,52,70,58,69
E. Penilla,24,192,87,57,120000,Right,SUB,24,38,56,27,22,47,39,28,25,59,60,48,73,64,63
J. Rowe,18,175,69,54,130000,Right,SUB,24,38,50,47,22,38,48,28,32,45,63,53,64,61,58
P. Ortiz,20,175,70,56,130000,Right,SUB,24,37,57,25,21,57,31,30,25,53,62,51,65,64,57
A. Eriksson Ibragic,25,178,75,58,140000,Right,SUB,24,44,55,45,22,42,51,34,31,55,65,52,56,63,60
G. Campbell,19,191,79,56,160000,Right,SUB,24,34,56,24,21,58,28,25,27,29,57,42,68,62,69
J. Waterman,24,188,75,58,160000,Right,SUB,24,40,58,29,20,60,29,28,24,34,55,50,70,62,71
O. Hawsawi,26,178,78,59,170000,Right,SUB,24,35,58,22,19,58,38,26,29,41,57,51,84,78,75
F. Kassaï,33,182,78,63,170000,Right,SUB,24,33,66,25,19,59,25,26,23,35,54,62,70,64,73
A. Ioniță,20,178,61,57,180000,Left,SUB,24,48,49,52,23,45,45,25,34,54,84,52,66,49,55
J. Modig,25,180,78,59,180000,Right,SUB,24,32,59,24,20,55,26,26,21,42,61,57,73,64,69
